Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Product rating count (product.metafields.reviews.rating_count),Active ingredient (product.metafields.shopify.active-ingredient),Age group (product.metafields.shopify.age-group),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Dispenser type (product.metafields.shopify.dispenser-type),Fragrance level (product.metafields.shopify.fragrance-level),Moisturizer type (product.metafields.shopify.moisturizer-type),Package type (product.metafields.shopify.package-type),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
hyaluronic-acid-serum,Hyaluronic Acid Serum,"<p><span class=""BZ_Pyq_fadeIn"">Hyaluronic </span><span class=""BZ_Pyq_fadeIn"">acid </span><span class=""BZ_Pyq_fadeIn"">serum </span><span class=""BZ_Pyq_fadeIn"">is </span><span class=""BZ_Pyq_fadeIn"">a </span><span class=""BZ_Pyq_fadeIn"">deeply </span><span class=""BZ_Pyq_fadeIn"">hydrating </span><span class=""BZ_Pyq_fadeIn"">treatment </span><span class=""BZ_Pyq_fadeIn"">that </span><span class=""BZ_Pyq_fadeIn"">helps </span><span class=""BZ_Pyq_fadeIn"">the </span><span class=""BZ_Pyq_fadeIn"">skin </span><span class=""BZ_Pyq_fadeIn"">retain </span><span class=""BZ_Pyq_fadeIn"">moisture </span><span class=""BZ_Pyq_fadeIn"">and </span><span class=""BZ_Pyq_fadeIn"">maintain </span><span class=""BZ_Pyq_fadeIn"">a </span><span class=""BZ_Pyq_fadeIn"">plump, </span><span class=""BZ_Pyq_fadeIn"">youthful </span><span class=""BZ_Pyq_fadeIn"">appearance. </span><span class=""BZ_Pyq_fadeIn"">This </span><span class=""BZ_Pyq_fadeIn"">ingredient </span><span class=""BZ_Pyq_fadeIn"">can </span><span class=""BZ_Pyq_fadeIn"">hold </span><span class=""BZ_Pyq_fadeIn"">up </span><span class=""BZ_Pyq_fadeIn"">to </span><span class=""BZ_Pyq_fadeIn"">1000 </span><span class=""BZ_Pyq_fadeIn"">times </span><span class=""BZ_Pyq_fadeIn"">its </span><span class=""BZ_Pyq_fadeIn"">weight </span><span class=""BZ_Pyq_fadeIn"">in </span><span class=""BZ_Pyq_fadeIn"">water, </span><span class=""BZ_Pyq_fadeIn"">making </span><span class=""BZ_Pyq_fadeIn"">it </span><span class=""BZ_Pyq_fadeIn"">one </span><span class=""BZ_Pyq_fadeIn"">of </span><span class=""BZ_Pyq_fadeIn"">the </span><span class=""BZ_Pyq_fadeIn"">most </span><span class=""BZ_Pyq_fadeIn"">effective </span><span class=""BZ_Pyq_fadeIn"">hydration </span><span class=""BZ_Pyq_fadeIn"">ingredients </span><span class=""BZ_Pyq_fadeIn"">in </span><span class=""BZ_Pyq_fadeIn"">skincare.<br><br>Apply a few drops to slightly damp skin after cleansing. Gently pat the serum into your skin and follow with a moisturizer to lock in hydration.</span><br></p>",Lumivara Skin,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Serums,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,29,deny,manual,999.00,1599.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0997/8141/1185/files/serum7_56115ceb-7959-4bee-bf08-914c1a075f17.jpg?v=1773479192,1,"",false,,,'1,hyaluronic-acid,teens; adults,,,,all-day,squeeze-tube; pouch; plastic-container; bottle,,serum; liquid,hydrating; moisturizing; plumping; anti-aging,uva-uvb-protection; fast-acting; neutral-ph,all-skin-types,,kg,,,active
hyaluronic-acid-serum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0997/8141/1185/files/serum6_8a80d0be-2e2a-43c0-babd-4da30ac06b97.jpg?v=1773479192,2,"",,,,,,,,,,,,,,,,,,,,,
hyaluronic-acid-serum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0997/8141/1185/files/serum2.jpg?v=1773468625,3,"",,,,,,,,,,,,,,,,,,,,,
hydrating-gentle-cleanser,Hydrating Gentle Cleanser,"<p>A mild daily facial cleanser that removes dirt, oil, and impurities while keeping your skin soft and hydrated.<br></p>
<p>Lumivara Hydrating Gentle Cleanser is designed to effectively cleanse the skin while maintaining its natural moisture balance. The gentle formula removes impurities and excess oil without causing dryness or irritation.</p>
<p>Its lightweight texture leaves your skin feeling refreshed, clean, and smooth after every wash. Perfect for daily use as the first step in your skincare routine.</p>
<p>Removes dirt and excess oil<br>Maintains skin hydration<br>Gentle for everyday use<br>Leaves skin feeling fresh and soft<br>Suitable for all skin types<br><br>1. Wet your face with lukewarm water.<br>2. Apply a small amount of cleanser.<br>3. Massage gently in circular motions.<br>4. Rinse thoroughly and pat dry.<br></p>",Lumivara Skin,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansers,"","",true,Title,Default Title,,,,,,,,,50.0,shopify,18,deny,manual,999.00,1399.00,true,true,999.0,g,1,g,"",https://cdn.shopify.com/s/files/1/0997/8141/1185/files/cleanser4.jpg?v=1773468871,1,"",false,,,,hemp-oil; vitamin-k,,,,,,pump-bottle,,foam; liquid,cleansing; hydrating; moisturizing; soothing,,all-skin-types,,g,,,active
hydrating-gentle-cleanser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0997/8141/1185/files/cleanser7.jpg?v=1773479017,2,"",,,,,,,,,,,,,,,,,,,,,
mineral-sunscreen,Sun Expert SPF 50 PA+++ Gel Sunscreen,"<p data-end=""6129"" data-start=""5898""><span class=""BZ_Pyq_fadeIn"">Mineral </span><span class=""BZ_Pyq_fadeIn"">sunscreen </span><span class=""BZ_Pyq_fadeIn"">uses </span><span class=""BZ_Pyq_fadeIn"">natural </span><span class=""BZ_Pyq_fadeIn"">ingredients </span><span class=""BZ_Pyq_fadeIn"">such </span><span class=""BZ_Pyq_fadeIn"">as </span><span class=""BZ_Pyq_fadeIn"">zinc </span><span class=""BZ_Pyq_fadeIn"">oxide </span><span class=""BZ_Pyq_fadeIn"">or </span><span class=""BZ_Pyq_fadeIn"">titanium </span><span class=""BZ_Pyq_fadeIn"">dioxide </span><span class=""BZ_Pyq_fadeIn"">to </span><span class=""BZ_Pyq_fadeIn"">create </span><span class=""BZ_Pyq_fadeIn"">a </span><span class=""BZ_Pyq_fadeIn"">protective </span><span class=""BZ_Pyq_fadeIn"">barrier </span><span class=""BZ_Pyq_fadeIn"">on </span><span class=""BZ_Pyq_fadeIn"">the </span><span class=""BZ_Pyq_fadeIn"">skin’s </span><span class=""BZ_Pyq_fadeIn"">surface. </span><span class=""BZ_Pyq_fadeIn"">This </span><span class=""BZ_Pyq_fadeIn"">barrier </span><span class=""BZ_Pyq_fadeIn"">reflects </span><span class=""BZ_Pyq_fadeIn"">harmful </span><span class=""BZ_Pyq_fadeIn"">UV </span><span class=""BZ_Pyq_fadeIn"">rays </span><span class=""BZ_Pyq_fadeIn"">and </span><span class=""BZ_Pyq_fadeIn"">protects </span><span class=""BZ_Pyq_fadeIn"">the </span><span class=""BZ_Pyq_fadeIn"">skin </span><span class=""BZ_Pyq_fadeIn"">from </span><span class=""BZ_Pyq_fadeIn"">sun </span><span class=""BZ_Pyq_fadeIn"">damage.</span></p>
<p data-end=""6318"" data-start=""6131""><span class=""BZ_Pyq_fadeIn"">Apply a generous amount of sunscreen to the face and neck at least 15 minutes before sun exposure. Reapply every 2 hours or after sweating or swimming.</span></p>",Lumivara Skin,Health & Beauty > Personal Care > Cosmetics > Skin Care > Sunscreen,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,45,deny,manual,799.00,1199.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0997/8141/1185/files/sunscreen8_ae4b75f4-6918-4d2a-ab1a-09e735e655dd.jpg?v=1773479560,1,"",false,,,,,all-ages,,tube,fragrance-free,,,spf-protection,lotion,protection; anti-aging,uva-uvb-protection,all-skin-types,,kg,,,active
mineral-sunscreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0997/8141/1185/files/sunscreen7_c297ec4d-4b3e-4b79-923a-eeee521cf2b6.jpg?v=1773479561,2,"",,,,,,,,,,,,,,,,,,,,,
spf-50-protective-sunscreen,SPF 50 Protective Sunscreen,"<p>A lightweight SPF 50 sunscreen that protects your skin from harmful UV rays while keeping it hydrated and comfortable throughout the day.<br><br></p>
<p>Lumivara SPF 50 Protective Sunscreen provides powerful protection against harmful UVA and UVB rays while maintaining skin hydration.</p>
<p>The lightweight, non-greasy formula absorbs quickly and leaves your skin feeling soft and comfortable without a white cast. Designed for everyday use, it helps prevent sun damage while supporting healthy-looking skin.</p>
<p>Perfect for daily wear under makeup or as the final step in your skincare routine.<br><br>Broad-spectrum SPF 50 protection<br>Helps prevent sun damage<br>Lightweight and fast absorbing<br>No greasy residue<br>Suitable for all skin types<br><br>1. Apply sunscreen as the final step of your skincare routine.<br>2. Take a generous amount and apply evenly on face and neck.<br>3. Reapply every 2–3 hours when exposed to sunlight.<br></p>",Lumivara Skin,Health & Beauty > Personal Care > Cosmetics > Skin Care > Sunscreen,"","",true,Title,Default Title,,,,,,,,,100.0,shopify,48,deny,manual,899.00,1199.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0997/8141/1185/files/sunscreen4.jpg?v=1773469266,1,"",false,,,,,adults; teens,,,,,bottle; pouch; refill; spray-bottle; squeeze-tube,,lotion,hydrating; moisturizing; protection,easy-to-apply; non-greasy; uva-uvb-protection,all-skin-types,,g,,,active
vitamin-c-brightening-serum,Vitamin C Brightening Serum,"Illuminate your complexion with our potent Vitamin C Brightening Serum. This lightweight formula harnesses the power of pure vitamin C to fade dark spots, even skin tone, and restore a radiant glow. Packed with antioxidants, it protects against environmental damage while boosting collagen production for firmer, more youthful-looking skin. Perfect for all skin types, this serum absorbs quickly without leaving residue. Apply a few drops to clean skin each morning and evening for visibly brighter, clearer results within weeks.",Lumivara Skin,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Serums,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,30,deny,manual,1299.00,1299.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0997/8141/1185/files/serum4.jpg?v=1773468625,1,"",false,,,,vitamin-c,,,,,,,,serum; liquid,brightening; anti-dark-spot; uneven-skin-tone; firming,,all-skin-types,,kg,,,active
vitamin-c-brightening-serum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0997/8141/1185/files/serum3.jpg?v=1773468625,2,"",,,,,,,,,,,,,,,,,,,,,
vitamin-c-brightening-serum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0997/8141/1185/files/serum1.jpg?v=1773468625,3,"",,,,,,,,,,,,,,,,,,,,,
